country_name,title,artist,irsc
Argentina,Adan y Eva,Paulo Londra,USWL11801206
Australia,Dance Monkey,Tones and I,QZES71982312
Belgium,Balance ton quoi,Angèle,BE8HB1800006
Canada,God's Plan,Drake,USCM51800005
Ireland,Outnumbered,Dermot Kennedy,USUG11901618
Italy,IL CIELO NELLA STANZA,Salmo feat. NSTASIA,ITB001800497
Japan,Pretender,Official髭男dism,JPPC01900265
Netherlands,Duurt Te Lang,Davina Michell,NLSU31800036
Switzerland,079,Lo & Leduc,CHC381800033
Turkey,AYA,Murda & Ezhel,NLG661900832
United Kingdom,Shape of You,Ed Sheeran,GBAHS1600463
United States of America,rockstar,Post Malone,USUM71713907
